family,severity,severity_index,single_qubit_error,two_qubit_error,readout_error,seed_simulator,simulation_seconds,shots,observed_indices,coverage_fraction,modal_correct_indices,modal_amplitude_accuracy,normalized_modal_mae,correct_basis_shot_fraction,amplitude_bit_error_rate,joint_distribution_tvd,time_distribution_tvd,exact_reconstruction,num_samples,amplitude_bits,time_bits,total_qubits,data_seed,seed_transpiler,optimization_level,transpiled_depth,transpiled_size,transpiled_cx_count
readout,severe,4,0.0,0.0,0.05,42,0.02883199998177588,1024,8,1.0,8,1.0,0.0,0.6962890625,0.098876953125,0.3037109375,0.037109375,True,8,4,3,7,42,42,1,454,557,236
readout,severe,4,0.0,0.0,0.05,52,0.0287978999549523,1024,8,1.0,8,1.0,0.0,0.7138671875,0.093994140625,0.2861328125,0.0439453125,True,8,4,3,7,42,42,1,454,557,236
readout,severe,4,0.0,0.0,0.05,62,0.0307241000700742,1024,8,1.0,8,1.0,0.0,0.7216796875,0.0947265625,0.2783203125,0.0390625,True,8,4,3,7,42,42,1,454,557,236
readout,severe,4,0.0,0.0,0.05,72,0.02979360008612275,1024,8,1.0,8,1.0,0.0,0.740234375,0.083251953125,0.259765625,0.0283203125,True,8,4,3,7,42,42,1,454,557,236
readout,severe,4,0.0,0.0,0.05,82,0.029291699989698827,1024,8,1.0,8,1.0,0.0,0.7373046875,0.0888671875,0.2626953125,0.0400390625,True,8,4,3,7,42,42,1,454,557,236
combined,severe,4,0.005,0.05,0.05,42,0.1473784000845626,1024,8,1.0,0,0.0,0.41666666666666663,0.0556640625,0.510009765625,0.9443359375,0.037109375,False,8,4,3,7,42,42,1,454,557,236
combined,severe,4,0.005,0.05,0.05,52,0.14648620004300028,1024,8,1.0,1,0.125,0.5083333333333333,0.0615234375,0.489990234375,0.9384765625,0.0439453125,False,8,4,3,7,42,42,1,454,557,236
combined,severe,4,0.005,0.05,0.05,62,0.14654350001364946,1024,8,1.0,0,0.0,0.475,0.0595703125,0.487548828125,0.9404296875,0.0390625,False,8,4,3,7,42,42,1,454,557,236
combined,severe,4,0.005,0.05,0.05,72,0.14405410003382713,1024,8,1.0,0,0.0,0.4666666666666667,0.0595703125,0.500244140625,0.9404296875,0.0283203125,False,8,4,3,7,42,42,1,454,557,236
combined,severe,4,0.005,0.05,0.05,82,0.1520557999610901,1024,8,1.0,0,0.0,0.41666666666666663,0.0625,0.49365234375,0.9375,0.0400390625,False,8,4,3,7,42,42,1,454,557,236
