profile,num_samples,amplitude_bits,time_bits,total_qubits,state_space_dimension,seed,seed_transpiler,optimization_level,basis_gates,timing_repeats,sample_min,sample_max,sample_mean,sample_hamming_weight,sample_bit_density,build_seconds,transpile_seconds,transpile_seconds_min,transpile_seconds_max,raw_depth,raw_size,raw_operations,transpiled_depth,transpiled_size,transpiled_operations,transpiled_cx_count,transpiled_single_qubit_count,depth_overhead_ratio,size_overhead_ratio,study
random,8,4,3,7,128,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,2,13,7.0,15,0.46875,0.001202200073748827,0.00960520002990961,0.009172899997793138,0.009775000042282045,28,42,"{""h"": 3, ""mcx"": 15, ""x"": 24}",339,421,"{""cx"": 174, ""rz"": 217, ""sx"": 19, ""x"": 11}",174,247,12.107142857142858,10.023809523809524,amplitude_resolution
random,8,4,3,7,128,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,13,5.0,16,0.5,0.0015329000307247043,0.017679000040516257,0.017282400047406554,0.018501100013963878,29,43,"{""h"": 3, ""mcx"": 16, ""x"": 24}",399,487,"{""cx"": 204, ""rz"": 251, ""sx"": 21, ""x"": 11}",204,283,13.758620689655173,11.325581395348838,amplitude_resolution
random,8,4,3,7,128,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,14,6.25,16,0.5,0.0014349999837577343,0.00906599999871105,0.0088943000882864,0.009374499903060496,29,43,"{""h"": 3, ""mcx"": 16, ""x"": 24}",403,486,"{""cx"": 208, ""rz"": 250, ""sx"": 17, ""x"": 11}",208,278,13.89655172413793,11.30232558139535,amplitude_resolution
dense,8,4,3,7,128,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,15,15,15.0,32,1.0,0.002285800059325993,0.009131499915383756,0.009122700081206858,0.01023060001898557,45,59,"{""h"": 3, ""mcx"": 32, ""x"": 24}",839,971,"{""cx"": 442, ""rz"": 501, ""sx"": 17, ""x"": 11}",442,529,18.644444444444446,16.45762711864407,amplitude_resolution
sparse,8,5,3,8,256,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,16,4.75,8,0.2,0.0008552001090720296,0.006645399960689247,0.0063841999508440495,0.006860499968752265,21,35,"{""h"": 3, ""mcx"": 8, ""x"": 24}",211,281,"{""cx"": 104, ""rz"": 145, ""sx"": 21, ""x"": 11}",104,177,10.047619047619047,8.028571428571428,amplitude_resolution
random,8,5,3,8,256,42,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,29,16.125,19,0.475,0.0014610999496653676,0.009764600079506636,0.009288999950513244,0.010235999943688512,32,46,"{""h"": 3, ""mcx"": 19, ""x"": 24}",459,561,"{""cx"": 238, ""rz"": 291, ""sx"": 23, ""x"": 9}",238,323,14.34375,12.195652173913043,amplitude_resolution
random,8,5,3,8,256,52,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,28,18.375,18,0.45,0.001384100061841309,0.009090500068850815,0.008919599931687117,0.010376399965025485,31,45,"{""h"": 3, ""mcx"": 18, ""x"": 24}",406,498,"{""cx"": 212, ""rz"": 258, ""sx"": 19, ""x"": 9}",212,286,13.096774193548388,11.066666666666666,amplitude_resolution
random,8,5,3,8,256,62,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,1,29,11.625,21,0.525,0.0015917000127956271,0.009362599928863347,0.009326100000180304,0.009450500016100705,34,48,"{""h"": 3, ""mcx"": 21, ""x"": 24}",527,638,"{""cx"": 272, ""rz"": 330, ""sx"": 25, ""x"": 11}",272,366,15.5,13.291666666666666,amplitude_resolution
random,8,5,3,8,256,72,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,0,31,22.25,25,0.625,0.001812300062738359,0.010825999896042049,0.01064530003350228,0.011819700011983514,38,52,"{""h"": 3, ""mcx"": 25, ""x"": 24}",535,656,"{""cx"": 282, ""rz"": 340, ""sx"": 23, ""x"": 11}",282,374,14.078947368421053,12.615384615384615,amplitude_resolution
random,8,5,3,8,256,82,42,1,"[""rz"", ""sx"", ""x"", ""cx""]",3,3,31,18.5,24,0.6,0.001755799981765449,0.010732900002039969,0.010575099964626133,0.01122930005658418,37,51,"{""h"": 3, ""mcx"": 24, ""x"": 24}",523,639,"{""cx"": 274, ""rz"": 331, ""sx"": 23, ""x"": 11}",274,365,14.135135135135135,12.529411764705882,amplitude_resolution
